NOME DO ESTUDO;BACIA;ESTUDO;EMPRESA;NATUREZA DA AQUISIÇÃO;DATA CONCLUSÃO;TITULARIDADE
Supplementary oils Greater Campos Basin Phase II;Campos;Geoquímico;GSI;NÃO EXCLUSIVO;2005;PÚBLICO
Soil Gas Study of the Recôncavo Basin;Recôncavo;Geoquímico;GSI;NÃO EXCLUSIVO;2000;PÚBLICO
Bacia do Parnaíba - uma revisão das atuais perspectivas exploratórias;Parnaíba;Geológico;Bacoccoli;FOMENTO;2001;PÚBLICO
Interpretação e Mapeamento dos Sistemas Petrolíferos da Bacia de Campos Tomo 1 e Tomo 2;Campos;Geológico;Unesp;FOMENTO;2006;PÚBLICO
"Interpretação e Mapeamento dos Sistemas Petrolíferos da Bacia de Santos Tomo 1 ; Tomo 2 e Tomo 3";Santos;Geológico;Unesp;FOMENTO;2001;PÚBLICO
The petroleum geology of the Santos basin, Brasil - Phase II Deepwater;Santos;Geológico;CORE LABORATORIES SALES N.V;NÃO EXCLUSIVO;2003;PÚBLICO
Modelagem 3D do sistema petrolífero e risco exploratório na Bacia do Espírito Santo;Espírito Santo;Geológico;HRT;NÃO EXCLUSIVO;2005;PÚBLICO
Mapeamento, Sistemas Petrolíferos e Modelagem Quantitativa da;Camamu-Almada;Geológico;UFRJ/COPPE;FOMENTO;2001;PÚBLICO
Bacia de Camamu - Alamada;;;;;;
Índice geral e Índice tabelas e figuras;;;;;;
Modelagem 3D do sistema petrolífero e risco exploratório na Bacia de Campos;Campos;Geológico;HRT;NÃO EXCLUSIVO;2005;PÚBLICO
Santos Basin Oil Study;Santos;Geoquímico;GSI;NÃO EXCLUSIVO;2001;PÚBLICO
Mapeamento e Análise Quantitativa dos Sistemas Petrolíferos das Bacias de Jequitinhonha e Jacuipe Volume I e Volume II;Jequitinhonha e Jacuípe;Geológico;UFRJ/COPPE;FOMENTO;2005;PÚBLICO
Identificação e Caracterização De Sistemas Petrolíferos na Porção Marinha da Bacia de Pernambuco-Paraíba;Pernambuco-Paraiba;Geoquímico;Oceansatpag/ANP;FOMENTO;01/12/2005;PÚBLICO
Sergipe-Alagoas crude oil study;Sergipe-Alagoas;Geoquímico;GSI;NÃO EXCLUSIVO;2008;PÚBLICO
Modelagem 3D do sistema petrolífero e risco exploratório na Bacia de Santos;Santos;Geológico;HRT;NÃO EXCLUSIVO;2005;PÚBLICO
"Estudo dos Sistemas Petrolíferos - Bacia de Pelotas Volume I; Volume II e Volume III";Pelotas;Geológico;UFRGS;FOMENTO;2008;PÚBLICO
Bacia de Campos - Source Rock Study;Campos;Geoquímico;GSI;NÃO EXCLUSIVO;2002;PÚBLICO
Levantamento aerogeofísico para a identificação de áreas com ocorrência potencial de petróleo e gás na bacia do parnaíba volume I;Parnaíba;Geofísico;USP;FOMENTO;2007;PÚBLICO
RESERVOIR QUALITY OF THE COASTAL BASINS OF SOUTHEAST BRAZIL;Campos, Santos and Espírito Santo ;Misto;Robertson/Expetro;NÃO EXCLUSIVO;2003;PÚBLICO
A REGIONAL EVALUATION OF CRETACEOUS CARBONATES IN THE S.E. BRASILIAN MARGIN;Santos, Campos, Espírito Santo e Mucuri;Geológico;Core Laboratories Sales N.V.;NÃO EXCLUSIVO;2005;PÚBLICO
SEQUENCE STRATIGRAPHY: SOUTHEAST COASTAL BASINS - BRAZIL ;Campos, Santos and Espírito Santo ;Geológico;Robertson/Expetro;NÃO EXCLUSIVO;2001;PÚBLICO
SEQUENCE STRATIGRAPHY, SOUTHEAST COASTAL BASINS, BRAZIL: PHASE II - DEEPWATER ;Campos, Santos and Espírito Santo ;Geológico;Robertson/Expetro;NÃO EXCLUSIVO;2004;PÚBLICO
Sistemas Petrolíferos das Bacias da Margem Leste do Brasil;Espirito Santo, Mucuri, Cumuraxatiba, Jequitinho, Camamu-Almada e Sergipe- Alagoas;Geológico;Insight ;NÃO EXCLUSIVO;2002;PÚBLICO
PETROLEUM SYSTEM OF POTIGUAR BASIN;Potiguar;Geológico;DPC & Assoc.;NÃO EXCLUSIVO;2005;PÚBLICO
Estudo dos sistemas Petrolíferos;Recôncavo, Tucano e Jatobá;Geológico;UFBA;FOMENTO;2008;PÚBLICO
Petroleum Systems of the Solimões - Amazonas Basins, Brazil;Amazonas e Solimões;Geológico;Insight ;NÃO EXCLUSIVO;2002;PÚBLICO
Mapeamento e Modelagem dos Sistemas Petrolíferos Cumuxuratiba e Espírito Santo;Cumuxuratiba e Espírito Santo;Geológico;COPPE;FOMENTO;2008;PÚBLICO
"Brazilian Equatorial Margin Project – Upper Cretaceous and Tertiary Turbidites
Parte 1 e Parte 2";Margem Equatorial;Geológico;Nupetro/Gorceix;FOMENTO;2003;PÚBLICO
Great Campos Basin Biostratigrapic Project 2002;CAMPOS, ESPIRITO SANTO, SANTOS;Geológico;GSI;NÃO EXCLUSIVO;2003;PÚBLICO
Crude Oil Study of the Solimões ans Amazonas Basin;Amazonas Solimões;Geoquímico;GSI;NÃO EXCLUSIVO;2003;PÚBLICO
Estudos de Óleos - Bacias Centrais (versão revisada);Sergipe-Alagoas, Recôncavo, Camamu-Almada e Cumuruxatiba;Geoquímico;GSI;NÃO EXCLUSIVO;2004;PÚBLICO
Piston Core Foz do Amazonas;Foz do Amazonas;Geoquímico;TDI&CP+;FOMENTO;2015;PÚBLICO
Avaliação do Potencial Petrolífero da Bacia Pernambuco-Paraíba;Pernanbuco - Paraíba;Geológico;UFRN;FOMENTO;2001;PÚBLICO
Reavaliação Geológica da Porção Baiana da Bacia de São Francisco: Estratigrafia de Sequências, Sismoestratigrafia e possíveis implicações para sistemas petrolíferos;SÃO FRANCISCO;Geológico;UFBA;FOMENTO;2014;PÚBLICO
"Prospecção Geoquíma de Superfície nos Blocos Exploratórios SEAL-T-340; SEAL-T-426 e SEAL-T-434";Sergipe-Alagoas;Geoquímico;QUANTRA;EXCLUSIVO;2007;PÚBLICO
Basin and Petroleum Systems Modeling in Central/ Northern Campos and Espirito Santo Basins;ESPIRITO SANTOS, CAMPOS;Geológico;PGT;NÃO EXCLUSIVO;2004;PÚBLICO
Revisão Geologica e Reavaliação dos sitemas petrolíferos da Bacia Sergipe-Alagoas;Sergipe-Alagoas;Geológico;UFRN;FOMENTO;2008;PÚBLICO
